repo_name,days_present,presence_pct,min,avg_stars,std_dev(stars),max,avg_rank,slope,category
affaan-m/ECC,7,1.0,247052,251163.7142857143,2993.278175862585,255070,2.0,1383.4642857444348,most_present
cathrynlavery/diagram-design,5,0.7142857142857143,30846,33147.4,2314.1315433656746,36447,8.8,1099.5465116021746,most_present
mattpocock/skills,4,0.5714285714285714,247160,250983.25,3076.6823446693393,254330,1.25,2373.0999999037927,most_present
NousResearch/hermes-agent,4,0.5714285714285714,240769,241649.0,729.9913241493618,242478,3.25,564.7999999749819,most_present
DietrichGebert/ponytail,4,0.5714285714285714,123266,126443.0,2575.5954651303473,129160,6.0,1983.5999999182807,most_present
blader/humanizer,4,0.5714285714285714,41373,42870.25,1178.4043943683632,44129,9.75,905.6999999659766,most_present
magnitudedev/magnitude,4,0.5714285714285714,1897,2753.75,768.0500743224147,3621,16.25,592.4999999690828,most_present
obra/superpowers,3,0.42857142857142855,281289,282849.3333333333,1391.5948883685041,283962,1.0,431.33870964232517,most_present
anomalyco/opencode,3,0.42857142857142855,204036,204605.33333333334,565.5389759630447,205167,4.0,565.5000000854039,most_present
anthropics/skills,3,0.42857142857142855,173594,174060.0,459.1601027963993,174512,5.0,458.9999999848289,most_present
affaan-m/ECC,7,1.0,247052,251163.7142857143,2993.278175862585,255070,2.0,1383.4642857444348,consistent_repos
cathrynlavery/diagram-design,5,0.7142857142857143,30846,33147.4,2314.1315433656746,36447,8.8,1099.5465116021746,consistent_repos
mattpocock/skills,4,0.5714285714285714,247160,250983.25,3076.6823446693393,254330,1.25,2373.0999999037927,consistent_repos
NousResearch/hermes-agent,4,0.5714285714285714,240769,241649.0,729.9913241493618,242478,3.25,564.7999999749819,consistent_repos
DietrichGebert/ponytail,4,0.5714285714285714,123266,126443.0,2575.5954651303473,129160,6.0,1983.5999999182807,consistent_repos
blader/humanizer,4,0.5714285714285714,41373,42870.25,1178.4043943683632,44129,9.75,905.6999999659766,consistent_repos
magnitudedev/magnitude,4,0.5714285714285714,1897,2753.75,768.0500743224147,3621,16.25,592.4999999690828,consistent_repos
obra/superpowers,3,0.42857142857142855,281289,282849.3333333333,1391.5948883685041,283962,1.0,431.33870964232517,consistent_repos
anomalyco/opencode,3,0.42857142857142855,204036,204605.33333333334,565.5389759630447,205167,4.0,565.5000000854039,consistent_repos
anthropics/skills,3,0.42857142857142855,173594,174060.0,459.1601027963993,174512,5.0,458.9999999848289,consistent_repos
obra/superpowers,3,0.42857142857142855,281289,282849.3333333333,1391.5948883685041,283962,1.0,431.33870964232517,top_by_avg_star
affaan-m/ECC,7,1.0,247052,251163.7142857143,2993.278175862585,255070,2.0,1383.4642857444348,top_by_avg_star
mattpocock/skills,4,0.5714285714285714,247160,250983.25,3076.6823446693393,254330,1.25,2373.0999999037927,top_by_avg_star
NousResearch/hermes-agent,4,0.5714285714285714,240769,241649.0,729.9913241493618,242478,3.25,564.7999999749819,top_by_avg_star
multica-ai/andrej-karpathy-skills,1,0.14285714285714285,211382,211382.0,0.0,211382,3.0,0.0,top_by_avg_star
anomalyco/opencode,3,0.42857142857142855,204036,204605.33333333334,565.5389759630447,205167,4.0,565.5000000854039,top_by_avg_star
microsoft/markitdown,2,0.2857142857142857,180049,180822.0,1093.1870837144024,181595,3.0,1546.0000002426773,top_by_avg_star
anthropics/skills,3,0.42857142857142855,173594,174060.0,459.1601027963993,174512,5.0,458.9999999848289,top_by_avg_star
f/prompts.chat,1,0.14285714285714285,168918,168918.0,0.0,168918,6.0,0.0,top_by_avg_star
DietrichGebert/ponytail,4,0.5714285714285714,123266,126443.0,2575.5954651303473,129160,6.0,1983.5999999182807,top_by_avg_star
